page,tag256_ImageWidth,tag257_ImageLength,tag258_BitsPerSample,tag259_Compression,tag262_PhotometricInterpretation,tag273_StripOffsets,tag277_SamplesPerPixel,tag278_RowsPerStrip,tag279_StripByteCounts,tag282_XResolution,tag283_YResolution,tag296_ResolutionUnit,tag32768,tag32769,tag32770,tag32771,tag32772,tag32773,tag32774,tag32775,tag32776,tag32777,tag32778,tag32779,tag32781_ImageID,tag32782,timestamp_ns,t_seconds,delta_ms
86,1440,1080,16,1,1,"(267523466,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,432,1940,1579445760,8333816000000,5.733,67.0
87,1440,1080,16,1,1,"(270634200,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,433,1940,1646445760,8333883000000,5.8,67.0
88,1440,1080,16,1,1,"(273744934,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,434,1940,1712445760,8333949000000,5.866,66.0
89,1440,1080,16,1,1,"(276855668,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,435,1940,1779445760,8334016000000,5.933,67.0
90,1440,1080,16,1,1,"(279966402,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,436,1940,1846445760,8334083000000,6.0,67.0
91,1440,1080,16,1,1,"(283077136,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,437,1940,1912445760,8334149000000,6.066,66.0
92,1440,1080,16,1,1,"(286187870,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,438,1940,1979445760,8334216000000,6.133,67.0
93,1440,1080,16,1,1,"(289298604,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,439,1940,2046445760,8334283000000,6.2,67.0
94,1440,1080,16,1,1,"(292409338,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,440,1940,2112445760,8334349000000,6.266,66.0
95,1440,1080,16,1,1,"(295520072,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,441,1940,2179445760,8334416000000,6.333,67.0
96,1440,1080,16,1,1,"(298630806,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,442,1940,2246445760,8334483000000,6.4,67.0
97,1440,1080,16,1,1,"(301741540,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,443,1940,2312445760,8334549000000,6.466,66.0
98,1440,1080,16,1,1,"(304852274,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,444,1940,2379445760,8334616000000,6.533,67.0
99,1440,1080,16,1,1,"(307963008,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,445,1940,2446445760,8334683000000,6.6,67.0
