page,tag256_ImageWidth,tag257_ImageLength,tag258_BitsPerSample,tag259_Compression,tag262_PhotometricInterpretation,tag273_StripOffsets,tag277_SamplesPerPixel,tag278_RowsPerStrip,tag279_StripByteCounts,tag282_XResolution,tag283_YResolution,tag296_ResolutionUnit,tag32768,tag32769,tag32770,tag32771,tag32772,tag32773,tag32774,tag32775,tag32776,tag32777,tag32778,tag32779,tag32781_ImageID,tag32782,timestamp_ns,t_seconds,delta_ms
85,1440,1080,16,1,1,"(264412732,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,86,1802,1160932608,7740692000000,5.738,66.0
86,1440,1080,16,1,1,"(267523466,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,87,1802,1227932608,7740759000000,5.805,67.0
87,1440,1080,16,1,1,"(270634200,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,88,1802,1294932608,7740826000000,5.872,67.0
88,1440,1080,16,1,1,"(273744934,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,89,1802,1360932608,7740892000000,5.938,66.0
89,1440,1080,16,1,1,"(276855668,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,90,1802,1427932608,7740959000000,6.005,67.0
90,1440,1080,16,1,1,"(279966402,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,91,1802,1494932608,7741026000000,6.072,67.0
91,1440,1080,16,1,1,"(283077136,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,92,1802,1560932608,7741092000000,6.138,66.0
92,1440,1080,16,1,1,"(286187870,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,93,1802,1627932608,7741159000000,6.205,67.0
93,1440,1080,16,1,1,"(289298604,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,94,1802,1694932608,7741226000000,6.272,67.0
94,1440,1080,16,1,1,"(292409338,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,95,1802,1760932608,7741292000000,6.338,66.0
95,1440,1080,16,1,1,"(295520072,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,96,1802,1827932608,7741359000000,6.405,67.0
96,1440,1080,16,1,1,"(298630806,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,97,1802,1894932608,7741426000000,6.472,67.0
97,1440,1080,16,1,1,"(301741540,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,98,1802,1960932608,7741492000000,6.538,66.0
98,1440,1080,16,1,1,"(304852274,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,99,1802,2027932608,7741559000000,6.605,67.0
99,1440,1080,16,1,1,"(307963008,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,100,1802,2094932608,7741626000000,6.672,67.0
100,1440,1080,16,1,1,"(311073742,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,101,1802,2160932608,7741692000000,6.738,66.0
101,1440,1080,16,1,1,"(314184476,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,102,1802,2227932608,7741759000000,6.805,67.0
102,1440,1080,16,1,1,"(317295210,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,103,1802,2294932608,7741826000000,6.872,67.0
103,1440,1080,16,1,1,"(320405944,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,104,1802,2360932608,7741892000000,6.938,66.0
104,1440,1080,16,1,1,"(323516678,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,105,1802,2427932608,7741959000000,7.005,67.0
105,1440,1080,16,1,1,"(326627412,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,106,1802,2494932608,7742026000000,7.072,67.0
106,1440,1080,16,1,1,"(329738146,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,107,1802,2560932608,7742092000000,7.138,66.0
107,1440,1080,16,1,1,"(332848880,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,108,1802,2627932608,7742159000000,7.205,67.0
108,1440,1080,16,1,1,"(335959614,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,109,1802,2694932608,7742226000000,7.272,67.0
109,1440,1080,16,1,1,"(339070348,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,110,1802,2760932608,7742292000000,7.338,66.0
110,1440,1080,16,1,1,"(342181082,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,111,1802,2827932608,7742359000000,7.405,67.0
